37.288716600 127.107469600
37.288716700 127.107469100
37.288717000 127.107468600
37.288717200 127.107467900
37.288717500 127.107467200
37.288717800 127.107466200
37.288718000 127.107465200
37.288718200 127.107464200
37.288718400 127.107463200
37.288718500 127.107462300
37.288718700 127.107461300
37.288718800 127.107460400
37.288719000 127.107459500
37.288719000 127.107458600
37.288719100 127.107457700
37.288719100 127.107456800
37.288719000 127.107455800
37.288719100 127.107455100
37.288719000 127.107454300
37.288718800 127.107453400
37.288718700 127.107452600
37.288718600 127.107451900
37.288718500 127.107451200
37.288718200 127.107450500
37.288718100 127.107449800
37.288717700 127.107448800
37.288717400 127.107447800
37.288717000 127.107446700
37.288716500 127.107445600
37.288715800 127.107444600
37.288715400 127.107443400
37.288714600 127.107442400
37.288714200 127.107441100
37.288713500 127.107439900
37.288712800 127.107438800
37.288712100 127.107437700
37.288711400 127.107436600
37.288710900 127.107435600
37.288710200 127.107434300
37.288709800 127.107433300
37.288709100 127.107432100
37.288708600 127.107431100
37.288708000 127.107430000
37.288707600 127.107428900
37.288707100 127.107428000
37.288706600 127.107426900
37.288706200 127.107425800
37.288705700 127.107424800
37.288705300 127.107423800
37.288704900 127.107422600
37.288704400 127.107421500
37.288704100 127.107420400
37.288703700 127.107419300
37.288703400 127.107418100
37.288703100 127.107416900
37.288702800 127.107415900
37.288702500 127.107414700
37.288702300 127.107413600
37.288702100 127.107412400
37.288701800 127.107411200
37.288701500 127.107410100
37.288701600 127.107408900
37.288701300 127.107407600
37.288701300 127.107406600
37.288701200 127.107405300
37.288701200 127.107404100
37.288701300 127.107402800
37.288701200 127.107401900
37.288701300 127.107400500
37.288701500 127.107399500
37.288701600 127.107398200
37.288701700 127.107397000
37.288701900 127.107395900
37.288702200 127.107394600
37.288702400 127.107393500
37.288702700 127.107392300
37.288703100 127.107391200
37.288703400 127.107390100
37.288703700 127.107389000
37.288704100 127.107387900
37.288704300 127.107386800
37.288704700 127.107385800
37.288705000 127.107384600
37.288705300 127.107383500
37.288705500 127.107382300
37.288705800 127.107381200
37.288706100 127.107380100
37.288706500 127.107378800
